Date,gu,dong,Actual,Predicted
2006-11-17,23,85,18800,22035.088882827145
2011-10-07,23,88,56500,49070.86018530283
2011-04-05,23,85,20000,18337.453235074943
2016-07-06,23,85,36828,40332.25270985949
2006-10-24,23,158,15000,18798.824566507552
2014-01-02,23,85,29500,31576.81708618053
2017-12-16,23,130,34800,31864.444444444445
2008-02-21,23,158,29500,29901.810459544366
2022-02-28,23,85,56000,48830.41685186241
2006-08-20,23,158,14450,14272.151229462726
2008-03-29,23,85,26000,34283.61416838151
2009-08-14,23,88,18400,17725.477608714387
2017-04-12,23,88,35900,35641.95556585474
2018-03-24,23,83,47000,46739.38630329839
2011-11-12,23,158,34000,32464.69705050972
2019-10-14,23,85,50500,42530.801782591574
2013-08-29,23,88,32000,33557.65288859294
2017-06-12,23,88,26000,26703.605700508426
2015-12-31,23,88,19200,19972.2940785342
2007-06-18,23,85,31900,30356.3425996209
2014-03-06,23,88,34000,32008.019530857015
2015-01-10,23,85,38800,37550.83680497786
2007-03-02,23,85,20000,25687.794172754995
2015-07-22,23,158,33000,29885.609634771925
2020-06-18,23,85,34000,58235.73299079025
2007-01-19,23,88,35000,33647.836996506856
2018-09-05,23,158,54000,49336.03810834147
2017-04-24,23,158,57000,54973.36191241277
2020-01-07,23,158,39000,38569.74147458774
2006-10-29,23,88,14500,14192.802347528073
2019-10-26,23,158,43400,44251.5587865781
2013-12-26,23,158,33852,33551.79370613933
2017-09-20,23,88,27950,28873.433726904717
2020-02-05,23,158,32000,35701.01373952845
2015-01-31,23,85,31500,30140.40906587509
2006-04-09,23,158,11350,11544.921860002742
2011-05-31,23,158,47600,45946.240107276266
2016-02-04,23,130,33000,35299.028403919685
2017-01-11,23,85,30000,32477.340746802452
2007-12-10,23,130,36000,24619.820059600785
2006-08-17,23,250,25800,24868.60003923584
2012-11-05,23,88,63500,58548.98834783231
2017-09-16,23,85,19900,17138.296317209362
2021-03-19,23,158,31500,43107.59259259259
2018-05-14,23,250,29700,36019.686472327914
2017-09-14,23,158,31000,39530.482259110664
2020-06-16,23,158,42000,41318.177248677246
2014-03-27,23,88,26000,24607.099620365152
2019-04-13,23,83,51000,50682.67610215461
2014-10-23,23,85,33000,28995.595874230417
2011-10-08,23,158,18200,17706.83326741988
2007-03-09,23,158,23000,20896.956548680842
2015-03-28,23,85,38800,37010.5169295478
2011-07-01,23,88,36000,36483.1598791019
2015-02-14,23,158,15700,15026.279665365018
